areatype,availability,location,size,society,sqft,bath,price
 Plot Area,READY TO MOVE,Magadi Road,,Salarpuria Sattva Pipal Tree,2400 sq.ft.,,  59.86 Lac
 Super built-up Area,UNDER CONSTRUCTION,Vijayanagar,2 BHK,Salarpuria Sattva Anugraha,1046-1186 sq.ft.,2,  74.12 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,2 BHK,Salarpuria Sattva Opus,1239-1246 sq.ft.,2,  87.89 Lac 
 Carpet Area,READY TO MOVE,Tumkur Road,3 BHK,Salarpuria Sattva Laurel Heights,904 sq.ft.,2,  79.56 Lac
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,3 BHK,Salarpuria Sattva Opus,1441-1586 sq.ft.,,  1.01 Cr 
 Carpet Area,READY TO MOVE,Tumkur Road,2 BHK,Salarpuria Sattva Laurel Heights,711-738 sq.ft.,2,  65.01 Lac 
 Plot Area,READY TO MOVE,Magadi Road,,Salarpuria Sattva Pipal Tree,2400 sq.ft.,,  59.86 Lac
 Super built-up Area,UNDER CONSTRUCTION,Kengeri,3 BHK,Sai Gangothri Hill Crest,1105-1165 sq.ft.,,  55.25  - 59 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Kengeri,1 BHK,Sai Gangothri Hill Crest,590 sq.ft.,,  27.73 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Kengeri,2 BHK,Sai Gangothri Hill Crest,805-830 sq.ft.,,  40.25  - 41.5 Lac 
 Super built-up Area,READY TO MOVE,Mysore Road,3 BHK,Salarpuria Sattva Divinity,1520-1933 sq.ft.,,  1.18 Cr 
 Super built-up Area,UNDER CONSTRUCTION,Vijayanagar,3 BHK,Salarpuria Sattva Anugraha,1490-1704 sq.ft.,3,  1.03 Cr 
 Super built-up Area,READY TO MOVE,Mysore Road,2 BHK,Salarpuria Sattva Divinity,1180 sq.ft.,2,  93.12 Lac
 Super built-up Area,UNDER CONSTRUCTION,Kengeri,2 BHK,Pioneer KRS Park Royal,1172-1276 sq.ft.,2,  51  - 54.87 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Kengeri,3 BHK,Pioneer KRS Park Royal,1400-1536 sq.ft.,3,  60.2  - 66.05 Lac 
 Carpet Area,UNDER CONSTRUCTION,Vijayanagar,3 BHK,Anika Redwood Homes,1394-1563 sq.ft.,3,  1.23  - 1.35 Cr 
 Carpet Area,UNDER CONSTRUCTION,Vijayanagar,2 BHK,Anika Redwood Homes,1324-1332 sq.ft.,2,  1.05  - 1.06 Cr 
 Carpet Area,UNDER CONSTRUCTION,Mysore Road,3 BHK,Provident Equinox,773 sq.ft.,3,  59 Lac
 Carpet Area,UNDER CONSTRUCTION,Mysore Road,2 BHK,Provident Equinox,623 sq.ft.,2,  49 Lac
 Super built-up Area,UNDER CONSTRUCTION,Binny Pete,3 BHK,Shapoorji Parkwest 2,1918 sq.ft.,3,  1.81 Cr
 Super built-up Area,UNDER CONSTRUCTION,Binny Pete,2 BHK,Shapoorji Parkwest 2,1301 sq.ft.,2,  1.21 Cr
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,2 BHK,Ishtika Agastya,1072-1189 sq.ft.,,  46.1  - 51.13 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Rajarajeshwari Nagar,3 BHK,Elegant Exquisite,1416-1638 sq.ft.,3,  70.8  - 81.9 Lac
 Super built-up Area,UNDER CONSTRUCTION,Rajarajeshwari Nagar,2 BHK,Elegant Exquisite,1117-1338 sq.ft.,2,  55.85  - 66.9 Lac
 Built-up Area,READY TO MOVE,Kengeri Satellite Town,9 BHK,,4175 sq.ft.,10,  3.5 Cr 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,3 BHK,Arvind Oasis,1541 sq.ft.,3,  92 Lac 
 Plot Area,UNDER CONSTRUCTION,Arasanakunte,,,1200 sq.ft.,,  35 Lac 
 Plot Area,READY TO MOVE,Annapurneshwari Nagar,,,5651 sq.ft.,,  4.76 Cr 
 Super built-up Area,UNDER CONSTRUCTION,Binny Pete,2 BHK,Shapoorji Parkwest 2,1301 sq.ft.,2,  1.25 Cr
 Super built-up Area,UNDER CONSTRUCTION,Binny Pete,3 BHK,Shapoorji Parkwest 2,1918 sq.ft.,3,  1.85 Cr
 Super built-up Area,UNDER CONSTRUCTION,Binny Pete,3 BHK,Shapoorji Parkwest 2,1918 sq.ft.,3,  1.85 Cr
 Carpet Area,READY TO MOVE,Binny Pete,3 BHK,Shapoorji Pallonji Parkwest,1124-1521 sq.ft.,,  1.81  - 2.45 Cr 
 Super built-up Area,READY TO MOVE,Kengeri,2 BHK,AADHITRI APARTMENT,1050 sq.ft.,2,  49 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,3 BHK,Arvind Oasis,1297-1647 sq.ft.,,  61 Lac 
 Carpet Area,READY TO MOVE,Binny Pete,3 BHK,Shapoorji Pallonji Parkwest,1124-1521 sq.ft.,,  1.81  - 2.45 Cr 
 Carpet Area,UNDER CONSTRUCTION,Rajaji Nagar,4 BHK,Sobha Rajvilas,1429-1886 sq.ft.,,  2.14  - 2.83 Cr 
 Carpet Area,UNDER CONSTRUCTION,Rajaji Nagar,3 BHK,Sobha Rajvilas,1325-1338 sq.ft.,4,  2  - 2.02 Cr 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,3 BHK,Prestige Jindal City,1372-1729 sq.ft.,3,  95 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,2 BHK,Prestige Jindal City,961-1111 sq.ft.,2,  66 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,1 BHK,Prestige Jindal City,607-895 sq.ft.,,  43 Lac 
 Carpet Area,READY TO MOVE,Mysore Road,3 BHK,Provident Rays of Dawn,1082 sq.ft.,2,  52 Lac 
 Carpet Area,READY TO MOVE,Binny Pete,2 BHK,Shapoorji Pallonji Parkwest,914 sq.ft.,2,  96.94 Lac 
 Super built-up Area,READY TO MOVE,Tumkur Road,2 BHK,Tata Riva,1187 sq.ft.,2,  66 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,2 BHK,Arvind Oasis,1086-1297 sq.ft.,2,  51 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,4 BHK,Prestige Jindal City,2020-2171 sq.ft.,4,  1.43 Cr 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,3 BHK,Prestige Jindal City,1372-1729 sq.ft.,3,  96.81 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,2 BHK,Prestige Jindal City,961-1111 sq.ft.,2,  67.81 Lac 
 Plot Area,READY TO MOVE,Arasanakunte,,,5000 sq.ft.,,  21 Lac 
 Super built-up Area,READY TO MOVE,Mysore Road,3 BHK,Brigade Panorama,1407-1814 sq.ft.,,  82 Lac 
 Super built-up Area,READY TO MOVE,Mysore Road,2 BHK,Brigade Panorama,940-1120 sq.ft.,2,  54.89 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,3 BHK,Concorde Spring Meadows,1302-1477 sq.ft.,,  84.99  - 96.42 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,2 BHK,Concorde Spring Meadows,1088-1199 sq.ft.,2,  65  - 71.63 Lac 
 Super built-up Area,READY TO MOVE,Mysore Road,3 BHK,Salarpuria Sattva Divinity,2047 sq.ft.,3,  1.43 Cr
 Super built-up Area,READY TO MOVE,Mysore Road,2 BHK,Salarpuria Sattva Divinity,1209-1533 sq.ft.,2,  84.51 Lac 
 Super built-up Area,READY TO MOVE,Mysore Road,1 BHK,Salarpuria Sattva Divinity,600-688 sq.ft.,,  41.94 Lac 
 Super built-up Area,READY TO MOVE,Rajarajeshwari Nagar,2 BHK,sml iris,1192 sq.ft.,2,  51.98 Lac 
 Super built-up Area,READY TO MOVE,Rajarajeshwari Nagar,2 BHK,sml iris,1192 sq.ft.,2,  51.98 Lac 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,4 BHK,Phoenix Kessaku,6179 sq.ft.,6,  12 Cr 
 Super built-up Area,READY TO MOVE,Rajarajeshwari Nagar,2 BHK,sml iris,1130 sq.ft.,2,  51.99 Lac 
 Super built-up Area,READY TO MOVE,Rajarajeshwari Nagar,3 BHK,Prestige Bagamane Temple Bells,1587-1611 sq.ft.,3,  1.03  - 1.05 Cr 
 Super built-up Area,READY TO MOVE,Rajarajeshwari Nagar,2 BHK,Prestige Bagamane Temple Bells,1157-1376 sq.ft.,2,  75  - 89.19 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,3 BHK,Prestige Jindal City,1372-1729 sq.ft.,3,  96.81 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,2 BHK,Prestige Jindal City,961-1111 sq.ft.,2,  67.81 Lac 
 Super built-up Area,UNDER CONSTRUCTION,Tumkur Road,1 BHK,Prestige Jindal City,607-895 sq.ft.,,  44.54 Lac 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,4 BHK,Prestige West Woods,2563-3603 sq.ft.,,  2.81  - 3.95 Cr 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,3 BHK,Prestige West Woods,1615-1776 sq.ft.,3,  1.77  - 1.94 Cr 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,2 BHK,Prestige West Woods,1253-1376 sq.ft.,2,  1.37  - 1.5 Cr 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,2 BHK,Prestige West Woods,1268 sq.ft.,2,  1.3 Cr 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,3 BHK,Prestige West Woods,1736 sq.ft.,3,  1.85 Cr 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,2 BHK,Prestige West Woods,1263 sq.ft.,2,  1.35 Cr 
 Carpet Area,READY TO MOVE,Binny Pete,3 BHK,Shapoorji Pallonji Parkwest,1124 sq.ft.,3,  1.25 Cr 
 Super built-up Area,UNDER CONSTRUCTION,Chikkabanavara,2 BHK,Ds max Sonata Nest ,940 sq.ft.,2,  32 Lac 
 Super built-up Area,READY TO MOVE,Nagarbhavi,2 BHK,SLV GARDENIA,1100 sq.ft.,2,  54 Lac 
 Super built-up Area,READY TO MOVE,Nagarbhavi,2 BHK,SLV GARDENIA,1002 sq.ft.,2,  49 Lac 
 Super built-up Area,READY TO MOVE,Nagarbhavi,2 BHK,SLV GARDENIA,1029 sq.ft.,2,  50.4 Lac 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,4 BHK,Prestige West Woods,2733 sq.ft.,4,  3.1 Cr 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,3 BHK,Prestige West Woods,1625 sq.ft.,3,  1.71 Cr 
 Carpet Area,READY TO MOVE,Mysore Road,3 BHK,Provident Sunworth,960 sq.ft.,2,  46 Lac 
 Plot Area,READY TO MOVE,Nelamangala,,,1200 sq.ft.,,  18.6 Lac 
 Carpet Area,READY TO MOVE,Binny Pete,2 BHK,Shapoorji Pallonji Parkwest,914 sq.ft.,2,  96.94 Lac 
 Plot Area,UNDER CONSTRUCTION,Hosahalli,5 BHK,Assetz Earth and Essence,4120 sq.ft.,5,  3.7 Cr 
 Plot Area,UNDER CONSTRUCTION,Hosahalli,4 BHK,,3275 sq.ft.,4,  2.9 Cr 
 Plot Area,UNDER CONSTRUCTION,Hosahalli,4 BHK,,3275 sq.ft.,4,  2.9 Cr 
 Plot Area,UNDER CONSTRUCTION,Hosahalli,3 BHK,Assetz Earth and Essence,3059 sq.ft.,3,  2.7 Cr 
 Super built-up Area,READY TO MOVE,Rajaji Nagar,3 BHK,Phoenix One Bangalore West,2409 sq.ft.,3,  3.7 Cr 
 Super built-up Area,READY TO MOVE,Nagarbhavi,2 BHK,SLV GARDENIA,1010 sq.ft.,2,  49.5 Lac 
 Plot Area,UNDER CONSTRUCTION,Vishveshwarya Layout,,BDA,2400 sq.ft.,,  1.2 Cr 
 Plot Area,READY TO MOVE,Vishveshwarya Layout,,BDA,2400 sq.ft.,,  1.93 Cr 
 Super built-up Area,READY TO MOVE,Mysore Road,3 BHK,Provident Sunworth,1082 sq.ft.,2,  51 Lac 
 Plot Area,READY TO MOVE,Vishveshwarya Layout,,BDA,2400 sq.ft.,,  1.81 Cr 
 Super built-up Area,UNDER CONSTRUCTION,Nagarbhavi,2 BHK,Swasthik Snowdrop,1150 sq.ft.,2,  52.9 Lac 
